ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-19,61.0254734829617,55.317879140274606,65.78165350368114,61.0254734829617,61.0254734829617,-0.3860777562252276,-0.3860777562252276,-0.3860777562252276,-0.14118522419773388,-0.14118522419773388,-0.14118522419773388,-0.2448925320274937,-0.2448925320274937,-0.2448925320274937,0.0,0.0,0.0,60.639395726736474
2024-06-20,61.0129911437609,55.28936960249245,65.65270246042041,61.0129911437609,61.0129911437609,-0.5094772567845876,-0.5094772567845876,-0.5094772567845876,-0.21174490207056926,-0.21174490207056926,-0.21174490207056926,-0.2977323547140182,-0.2977323547140182,-0.2977323547140182,0.0,0.0,0.0,60.503513886976314
2024-06-21,61.00050880456009,55.642568592603084,65.50846411662631,61.00050880456009,61.00050880456009,-0.532969619016106,-0.532969619016106,-0.532969619016106,-0.18467580949415932,-0.18467580949415932,-0.18467580949415932,-0.3482938095219466,-0.3482938095219466,-0.3482938095219466,0.0,0.0,0.0,60.467539185543984
2024-06-24,60.963061786957674,55.010141506983985,65.02159613162024,60.963061786957674,60.963061786957674,-0.62488346353041,-0.62488346353041,-0.62488346353041,-0.14374715031920313,-0.14374715031920313,-0.14374715031920313,-0.4811363132112069,-0.4811363132112069,-0.4811363132112069,0.0,0.0,0.0,60.338178323427265
2024-06-25,60.95057944775687,55.58475128777297,65.37134525093022,60.95057944775687,60.95057944775687,-0.6481533445124924,-0.6481533445124924,-0.6481533445124924,-0.13062925737086675,-0.13062925737086675,-0.13062925737086675,-0.5175240871416257,-0.5175240871416257,-0.5175240871416257,0.0,0.0,0.0,60.30242610324438
2024-06-26,60.93809710855607,55.40578659280477,65.42297650835272,60.93809710855607,60.93809710855607,-0.6904331243910118,-0.6904331243910118,-0.6904331243910118,-0.14118522419778165,-0.14118522419778165,-0.14118522419778165,-0.5492479001932302,-0.5492479001932302,-0.5492479001932302,0.0,0.0,0.0,60.24766398416506
2024-06-27,60.92561476935527,54.80790575431405,65.50696453055575,60.92561476935527,60.92561476935527,-0.7876957951681722,-0.7876957951681722,-0.7876957951681722,-0.211744902070947,-0.211744902070947,-0.211744902070947,-0.5759508930972251,-0.5759508930972251,-0.5759508930972251,0.0,0.0,0.0,60.1379189741871
2024-06-28,60.91313243015446,54.88539547545046,65.09263351460795,60.91313243015446,60.91313243015446,-0.7820143782701817,-0.7820143782701817,-0.7820143782701817,-0.1846758094937454,-0.1846758094937454,-0.1846758094937454,-0.5973385687764363,-0.5973385687764363,-0.5973385687764363,0.0,0.0,0.0,60.13111805188428
2024-07-01,60.875685412552045,55.42407267377911,65.37067513698625,60.875685412552045,60.875685412552045,-0.7715276828018051,-0.7715276828018051,-0.7715276828018051,-0.14374715031921445,-0.14374715031921445,-0.14374715031921445,-0.6277805324825907,-0.6277805324825907,-0.6277805324825907,0.0,0.0,0.0,60.10415772975024
2024-07-02,60.863203073351244,55.32084049501502,65.24640078467432,60.863203073351244,60.863203073351244,-0.7571301567444596,-0.7571301567444596,-0.7571301567444596,-0.13062925737070852,-0.13062925737070852,-0.13062925737070852,-0.6265008993737511,-0.6265008993737511,-0.6265008993737511,0.0,0.0,0.0,60.106072916606784
2024-07-03,60.850720734150435,55.21478822138317,65.67586270633363,60.850720734150435,60.850720734150435,-0.7608309003439145,-0.7608309003439145,-0.7608309003439145,-0.14118522419782945,-0.14118522419782945,-0.14118522419782945,-0.6196456761460851,-0.6196456761460851,-0.6196456761460851,0.0,0.0,0.0,60.089889833806524
2024-07-04,60.83823839494963,54.62119719778965,64.93904369826431,60.83823839494963,60.83823839494963,-0.819188605307449,-0.819188605307449,-0.819188605307449,-0.21174490207020993,-0.21174490207020993,-0.21174490207020993,-0.6074437032372391,-0.6074437032372391,-0.6074437032372391,0.0,0.0,0.0,60.01904978964218
2024-07-05,60.825756055748826,55.511753055659184,65.39160591308274,60.825756055748826,60.825756055748826,-0.7748986027452295,-0.7748986027452295,-0.7748986027452295,-0.18467580949333134,-0.18467580949333134,-0.18467580949333134,-0.5902227932518981,-0.5902227932518981,-0.5902227932518981,0.0,0.0,0.0,60.050857453003594
2024-07-08,60.788309038146416,55.0139315319454,65.04085355419036,60.788309038146416,60.788309038146416,-0.6569098100549259,-0.6569098100549259,-0.6569098100549259,-0.14374715031992663,-0.14374715031992663,-0.14374715031992663,-0.5131626597349993,-0.5131626597349993,-0.5131626597349993,0.0,0.0,0.0,60.13139922809149
2024-07-09,60.77582669894561,54.90304727179846,65.46918076386834,60.77582669894561,60.77582669894561,-0.611655866501739,-0.611655866501739,-0.611655866501739,-0.13062925737099162,-0.13062925737099162,-0.13062925737099162,-0.48102660913074735,-0.48102660913074735,-0.48102660913074735,0.0,0.0,0.0,60.164170832443865
2024-07-10,60.7633443597448,54.78250144630238,65.24000612904881,60.7633443597448,60.7633443597448,-0.588054442255301,-0.588054442255301,-0.588054442255301,-0.14118522419786395,-0.14118522419786395,-0.14118522419786395,-0.44686921805743696,-0.44686921805743696,-0.44686921805743696,0.0,0.0,0.0,60.1752899174895
2024-07-11,60.750862020544,54.84545110011576,65.5353342625141,60.750862020544,60.750862020544,-0.6232527426612885,-0.6232527426612885,-0.6232527426612885,-0.21174490207038485,-0.21174490207038485,-0.21174490207038485,-0.41150784059090373,-0.41150784059090373,-0.41150784059090373,0.0,0.0,0.0,60.12760927788271
2024-07-12,60.7383796813432,54.76685379716067,65.1327536444359,60.7383796813432,60.7383796813432,-0.5604814848669489,-0.5604814848669489,-0.5604814848669489,-0.18467580949327606,-0.18467580949327606,-0.18467580949327606,-0.375805675373673,-0.375805675373673,-0.375805675373673,0.0,0.0,0.0,60.17789819647625
2024-07-15,60.70093266374078,54.88906548605807,65.06393745340654,60.70093266374078,60.70093266374078,-0.41940681757491804,-0.41940681757491804,-0.41940681757491804,-0.14374715031838506,-0.14374715031838506,-0.14374715031838506,-0.2756596672565329,-0.2756596672565329,-0.2756596672565329,0.0,0.0,0.0,60.28152584616586
2024-07-16,60.68845032453998,55.32776154800683,65.34617526052719,60.68845032453998,60.68845032453998,-0.3782397407807158,-0.3782397407807158,-0.3782397407807158,-0.1306292573708334,-0.1306292573708334,-0.1306292573708334,-0.2476104834098825,-0.2476104834098825,-0.2476104834098825,0.0,0.0,0.0,60.310210583759265
2024-07-17,60.67596798533916,55.189698918244126,65.44450478883772,60.67596798533916,60.67596798533916,-0.364865675076927,-0.364865675076927,-0.364865675076927,-0.1411852241979117,-0.1411852241979117,-0.1411852241979117,-0.22368045087901536,-0.22368045087901536,-0.22368045087901536,0.0,0.0,0.0,60.311102310262235
2024-07-18,60.66348564613836,55.551834392215056,65.70932889857798,60.66348564613836,60.66348564613836,-0.4164184755726442,-0.4164184755726442,-0.4164184755726442,-0.21174490207035707,-0.21174490207035707,-0.21174490207035707,-0.20467357350228713,-0.20467357350228713,-0.20467357350228713,0.0,0.0,0.0,60.24706717056572
2024-07-19,60.65100330693756,55.241924559886016,65.05052703141372,60.65100330693756,60.65100330693756,-0.37600177778718114,-0.37600177778718114,-0.37600177778718114,-0.1846758094925034,-0.1846758094925034,-0.1846758094925034,-0.19132596829467774,-0.19132596829467774,-0.19132596829467774,0.0,0.0,0.0,60.27500152915038
2024-07-22,60.61355628933515,55.14995424157225,65.15945604006556,60.61355628933515,60.61355628933515,-0.33502368167898994,-0.33502368167898994,-0.33502368167898994,-0.14374715031874677,-0.14374715031874677,-0.14374715031874677,-0.19127653136024322,-0.19127653136024322,-0.19127653136024322,0.0,0.0,0.0,60.27853260765616
2024-07-23,60.60107395013435,54.775789699701015,65.16689255626076,60.60107395013435,60.60107395013435,-0.33670505579295407,-0.33670505579295407,-0.33670505579295407,-0.13062925737086598,-0.13062925737086598,-0.13062925737086598,-0.20607579842208806,-0.20607579842208806,-0.20607579842208806,0.0,0.0,0.0,60.264368894341395
